episode,nearest distance for adult,nearest distance for child,nearest distance for elder,time DExc for adult,time DExc for child,time DExc for elder,reward,done_reason,total time steps,total time,path
1.0,2.427258877597599,2.3252576770846956,1.9911156541290653,0.0,0.0,7.0,10.79023408464094,2.0,292.0,32.1199999999999,34.914393538818324
2.0,2.831072740455706,0.8247677719157074,2.49468547879567,0.0,29.0,0.0,8.540241057132908,2.0,284.0,31.239999999999903,33.384389841025616
3.0,2.691013302206817,0.8942352563873085,1.7599196365728687,0.0,16.0,0.0,10.056906109218021,2.0,309.0,33.98999999999989,36.65662283635925
4.0,2.1401202140603424,1.1103765158608143,3.1483996653903596,0.0,25.0,0.0,9.850718710821512,2.0,332.0,36.519999999999875,37.31183736231994
5.0,1.0139777725382584,3.142139440961772,2.717939806155427,19.0,0.0,0.0,9.8242259182074,2.0,286.0,31.459999999999894,33.77818779270101
6.0,3.371050950489354,1.0819777321688546,1.9982114162204498,0.0,24.0,2.0,9.053464412938519,2.0,281.0,30.909999999999908,33.50162123212221
7.0,2.1312381154177134,1.2641239714792138,1.9460859981498448,0.0,42.0,5.0,9.49622537535194,2.0,325.0,35.749999999999886,36.41874615575534
8.0,1.8074120196443009,1.5748889876124605,0.7472213325627473,20.0,12.0,18.0,8.275359715534313,2.0,324.0,35.639999999999894,37.7192491966986
9.0,2.3681695180440534,1.8983076329374466,2.2630770934226727,0.0,0.0,0.0,11.223690000000005,2.0,296.0,32.5599999999999,35.0234303785332
10.0,1.7259217040452866,1.5795843274096582,1.8647837177218567,18.0,19.0,0.0,9.540632374644339,2.0,296.0,32.5599999999999,33.85622870038209
11.0,1.291234868931369,1.8348713516117217,1.4132919261001942,21.0,13.0,19.0,7.968529670837748,2.0,285.0,31.349999999999902,34.00552644492767
12.0,2.1934448558719355,0.883291505207449,2.108875101988855,0.0,32.0,0.0,8.056748098812601,2.0,303.0,33.3299999999999,36.01722662869861
13.0,1.7694714665117657,1.5688374590764809,2.132914216758662,0.0,19.0,0.0,11.661809129256,2.0,343.0,37.729999999999876,36.95745217523461
14.0,1.0079250668931101,2.4392237905231884,1.1910412713086767,26.0,0.0,3.0,8.873744477409655,2.0,283.0,31.1299999999999,33.75943694272516
15.0,0.5987492292990623,3.2002327540243614,1.4192574265239484,56.0,0.0,28.0,-3.6350041786370006,1.0,237.0,26.069999999999933,25.22958881834771
16.0,1.2934153250157945,2.0129203175264854,1.9531459489649006,27.0,0.0,0.0,9.605388197552015,2.0,294.0,32.3399999999999,35.018562978168
17.0,1.9163282825940384,2.160621675578672,3.3079214705687896,0.0,0.0,0.0,11.29238000000001,2.0,288.0,31.679999999999904,34.395289734181745
18.0,1.16739533867946,2.685879084213643,1.5203650134742226,84.0,0.0,135.0,1.744485533341308,2.0,415.0,45.649999999999835,34.39832569505112
19.0,2.1265393854805064,1.4873845367030594,2.1495305158755937,0.0,23.0,0.0,9.817527836400586,2.0,296.0,32.5599999999999,34.85719262821778
20.0,3.6183236660855975,2.862052595836231,2.2528336148932593,0.0,0.0,0.0,10.854090000000006,2.0,283.0,31.1299999999999,33.83592499873916
21.0,2.400211311359503,4.055982567295876,2.345959840096762,0.0,0.0,0.0,10.631110000000008,2.0,281.0,30.90999999999991,33.44182445996814
22.0,1.153587036971161,1.318214158809409,1.2897438185415846,51.0,71.0,56.0,1.3300098608651414,2.0,333.0,36.62999999999988,36.71182235029728
23.0,2.9654026004660414,1.2620363215351524,1.4181929430278009,0.0,35.0,25.0,8.152397266709707,2.0,297.0,32.6699999999999,34.42841091457701
24.0,1.2310602795834595,2.1786233994689543,1.0411944162741102,32.0,0.0,38.0,7.031128397334847,2.0,302.0,33.2199999999999,34.814860747396054
25.0,2.3881216197690374,1.832413394631708,1.481623837183724,0.0,5.0,24.0,10.050474014787191,2.0,308.0,33.879999999999896,33.944620388560764
26.0,1.3658239050822212,2.579161636829853,2.341553704392799,43.0,0.0,0.0,8.807494733382722,2.0,297.0,32.669999999999895,35.239427116915564
27.0,1.144398185522421,2.17630474574661,1.14471606005686,27.0,2.0,25.0,7.96356653435651,2.0,295.0,32.4499999999999,34.72326961901666
28.0,0.5346128561012483,0.9933117793020265,2.350666298459795,14.0,59.0,0.0,5.2146150654497525,2.0,294.0,32.3399999999999,35.04041130084678
29.0,2.75515171325441,1.755420508189155,0.9166580350686425,0.0,18.0,69.0,5.239977242184781,2.0,368.0,40.47999999999986,34.14465360932455
30.0,0.9110504433256504,3.4971190045244986,2.5006554713534355,6.0,0.0,0.0,10.702432841520775,2.0,292.0,32.1199999999999,34.785581018935886
31.0,0.9347559867810947,1.6974448504989568,1.800479963767479,24.0,23.0,15.0,8.672431064596479,2.0,341.0,37.50999999999987,39.51182031534536
32.0,1.6152373986208637,1.2379255285779782,2.162506727161738,14.0,23.0,0.0,9.924370415697252,2.0,319.0,35.08999999999988,36.91079112040572
33.0,2.399706953660194,1.665055277933734,1.6604642820769997,0.0,24.0,12.0,9.867071102892016,2.0,296.0,32.559999999999896,34.854145804692656
34.0,1.3593320178685664,1.2738805914138318,1.2318380210174367,46.0,40.0,33.0,4.76341418437711,2.0,317.0,34.86999999999989,34.891148355075956
37.0,0.7661774062278881,0.8237453930495725,1.3026767938807602,61.0,35.0,44.0,1.2872190540754092,2.0,363.0,39.92999999999987,36.96394431405726
38.0,3.5331342039827724,1.4917780921280346,1.526719307090138,0.0,31.0,3.0,9.339705502259964,2.0,283.0,31.1299999999999,33.812050868487994
39.0,2.362188541468163,1.0132687860940675,0.981892131931163,0.0,84.0,33.0,4.325929834874719,2.0,309.0,33.989999999999895,35.58892295190742
40.0,2.252269930408109,0.3997755999904403,1.22477592324479,0.0,23.0,5.0,3.0994133456120228,1.0,298.0,32.7799999999999,33.99981508704005
41.0,1.0272694547993342,1.3983957127688926,2.1485146528681374,21.0,33.0,0.0,7.975294177797105,2.0,313.0,34.42999999999989,36.29116726112331
42.0,1.414284405305289,4.344284107782931,0.8119426901337462,33.0,0.0,50.0,5.333536211921036,2.0,337.0,37.06999999999987,34.040156931612955
